Time (sec),Stage ,Confidence 
60.0,Unknown,10
63.75,Wake,10.0
67.5,Wake,10.0
71.25,Wake,10.0
75.0,Wake,10.0
78.75,Wake,10.0
82.5,Wake,10.0
86.25,Wake,10.0
90.0,Wake,10.0
93.75,Wake,10.0
97.5,Wake,4.460000038146973
101.25,Wake,9.510000228881836
105.0,Wake,8.329999923706055
108.75,Wake,2.9700000286102295
112.5,Wake,1.909999966621399
116.25,Wake,0.17000000178813934
120.0,NREM 1,0.49000000953674316
123.75,Wake,0.05999999865889549
127.5,NREM 1,1.1299999952316284
131.25,NREM 1,0.38999998569488525
135.0,Wake,0.07999999821186066
138.75,NREM 1,0.3400000035762787
142.5,NREM 1,4.570000171661377
146.25,NREM 1,2.9100000858306885
150.0,NREM 1,3.319999933242798
153.75,NREM 1,1.649999976158142
157.5,NREM 1,4.170000076293945
161.25,NREM 1,4.239999771118164
165.0,NREM 1,1.559999942779541
168.75,NREM 1,0.18000000715255737
172.5,NREM 1,1.7599999904632568
176.25,NREM 2,0.15000000596046448
180.0,NREM 2,0.28999999165534973
183.75,NREM 2,0.17000000178813934
187.5,NREM 2,2.490000009536743
191.25,NREM 2,3.059999942779541
195.0,NREM 2,10.0
198.75,NREM 2,10.0
202.5,NREM 2,10.0
206.25,NREM 2,10.0
210.0,NREM 2,10.0
213.75,NREM 2,10.0
217.5,NREM 2,10.0
221.25,NREM 2,10.0
225.0,NREM 2,10.0
228.75,NREM 2,10.0
232.5,NREM 2,10.0
236.25,NREM 2,10.0
240.0,NREM 2,10.0
243.75,NREM 2,10.0
247.5,NREM 2,10.0
251.25,NREM 2,10.0
255.0,NREM 2,10.0
258.75,NREM 2,10.0
262.5,NREM 2,10.0
266.25,NREM 2,5.010000228881836
270.0,NREM 2,5.599999904632568
273.75,NREM 2,10.0
277.5,NREM 2,4.210000038146973
281.25,NREM 2,8.279999732971191
285.0,NREM 2,10.0
288.75,NREM 2,10.0
292.5,NREM 2,4.239999771118164
296.25,NREM 2,1.1100000143051147
300.0,NREM 3,0.25
303.75,NREM 2,1.9900000095367432
307.5,NREM 2,2.0799999237060547
311.25,NREM 2,1.7300000190734863
315.0,NREM 2,2.8399999141693115
318.75,NREM 2,8.100000381469727
322.5,NREM 2,3.819999933242798
326.25,NREM 2,1.5199999809265137
330.0,NREM 2,3.0
333.75,NREM 2,5.360000133514404
337.5,NREM 2,7.389999866485596
341.25,NREM 2,1.3899999856948853
345.0,NREM 2,0.05999999865889549
348.75,NREM 2,0.05999999865889549
352.5,NREM 2,0.7400000095367432
356.25,NREM 3,0.38999998569488525
360.0,NREM 3,0.33000001311302185
363.75,NREM 3,4.309999942779541
367.5,NREM 3,4.789999961853027
371.25,NREM 3,10.0
375.0,NREM 3,10.0
378.75,NREM 3,10.0
382.5,NREM 3,10.0
386.25,NREM 3,10.0
390.0,NREM 3,10.0
393.75,NREM 3,10.0
397.5,NREM 3,10.0
401.25,NREM 3,10.0
405.0,NREM 3,9.029999732971191
408.75,NREM 3,6.400000095367432
412.5,NREM 3,4.25
416.25,NREM 3,5.739999771118164
420.0,NREM 3,3.4000000953674316
423.75,NREM 3,3.2699999809265137
427.5,NREM 3,2.130000114440918
431.25,NREM 3,0.7099999785423279
435.0,NREM 2,3.5399999618530273
438.75,NREM 2,1.840000033378601
442.5,REM,0.10000000149011612
446.25,NREM 2,0.1899999976158142
450.0,REM,0.009999999776482582
453.75,Wake,3.2899999618530273
457.5,Wake,0.8299999833106995
461.25,Wake,0.15000000596046448
465.0,Wake,0.23999999463558197
468.75,REM,3.75
472.5,REM,10.0
476.25,REM,10.0
